[INFO] 2026-01-28 21:11:03,489 autoreload Watching for file changes with StatReloader
[DEBUG] 2026-01-28 21:11:03,875 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\DLLs\_hashlib.pyd first seen with mtime 1707239490.0
[DEBUG] 2026-01-28 21:11:03,875 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django_filters\rest_framework\__init__.py first seen with mtime 1769607637.8759546
[DEBUG] 2026-01-28 21:11:03,876 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\transaction.py first seen with mtime 1768573766.0900056
[DEBUG] 2026-01-28 21:11:03,876 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\html\entities.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,876 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1768573760.2273145
[DEBUG] 2026-01-28 21:11:03,876 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\sessions\backends\__init__.py first seen with mtime 1768573765.4850373
[DEBUG] 2026-01-28 21:11:03,877 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1768573760.194264
[DEBUG] 2026-01-28 21:11:03,877 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\zoneinfo\_tzpath.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,877 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\collections\__init__.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,877 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\database.py first seen with mtime 1768573766.00599
[DEBUG] 2026-01-28 21:11:03,877 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1768573766.4525778
[DEBUG] 2026-01-28 21:11:03,878 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1768573765.9693735
[DEBUG] 2026-01-28 21:11:03,878 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1768573760.2216825
[DEBUG] 2026-01-28 21:11:03,878 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\email\errors.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,878 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1768573766.3485656
[DEBUG] 2026-01-28 21:11:03,878 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1768573766.00599
[DEBUG] 2026-01-28 21:11:03,879 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1768573766.3287086
[DEBUG] 2026-01-28 21:11:03,879 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\asyncio\streams.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,879 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1768573766.0265734
[DEBUG] 2026-01-28 21:11:03,879 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\numberformat.py first seen with mtime 1768573766.396915
[DEBUG] 2026-01-28 21:11:03,879 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\middleware\cache.py first seen with mtime 1768573766.315834
[DEBUG] 2026-01-28 21:11:03,879 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1768573760.194264
[DEBUG] 2026-01-28 21:11:03,879 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\asyncio\runners.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,879 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\signals.py first seen with mtime 1768573765.9887507
[DEBUG] 2026-01-28 21:11:03,879 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\query.py first seen with mtime 1768573766.1809068
[DEBUG] 2026-01-28 21:11:03,879 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_futures.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,879 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\schemas\openapi.py first seen with mtime 1769439193.754951
[DEBUG] 2026-01-28 21:11:03,879 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1768573761.8982975
[DEBUG] 2026-01-28 21:11:03,883 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\socketserver.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,883 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1768573763.9850323
[DEBUG] 2026-01-28 21:11:03,883 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1768573766.1376307
[DEBUG] 2026-01-28 21:11:03,883 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1768573766.0940945
